latitude,longitude,landslide_size,landslide_trigger
46.1609,-123.4316,4,15
28.2064,85.575,1,4
14.8937,74.5828,3,1
10.3828,-61.2984,3,3
45.1676,-122.125,4,15
12.8414,101.1186,2,3
40.1909,-80.6687,3,3
-1.0828,35.8666,2,12
39.8842,-79.8521,3,3
-4.87213351,38.33224111,3,1
50.2405,-57.5886,3,15
11.7833,124.8834,2,3
46.03154457,-122.6604082,3,12
32.24637329,78.06616409,3,12
7.2549,126.1557,2,3
47.6168,-116.6798,3,15
-33.9038,19.1565,3,12
45.1357,-123.896,4,15
16.379,120.6,2,14
-8.6993,125.6723,2,12
28.55,114.252,2,3
25.3098633,94.48214677,2,3
29.9964,80.201,3,3
47.5399,-121.8094,2,1
43.6728,-123.9284,4,15
17.108372,121.144802,2,12
46.67,-111.96,3,3
28.4202,84.8996,3,15
20.8938,105.5845,3,3
24.3481,94.1146,2,15
36.4628,74.6191,2,3
33.1847,75.8062,2,3
6.7425,-76.1551,2,12
29.58,80.2214,2,3
27.8664,83.1036,2,15
51.7026,-3.1414,2,5
10.0884,124.981,3,3
-41.3913,173.1976,2,3
13.2875,-87.0325,3,8
27.79532591,84.43283218,3,12
17.9209,121.2194,2,14
26.7223,95.0243,2,1
44.7849,-123.9049,4,15
36.0281,-94.9213,2,3
47.3681,-123.1595,2,3
40.8305,-75.0776,3,12
29.3046,113.5578,1,3
13.3137,109.2164,2,3
44.04653643,-124.071433,3,12
35.774,-120.1521,3,3
46.9241,-120.5021,2,15
8.2036,124.9292,2,3
25.15246863,92.94670614,2,1
27.88159864,83.77762394,2,12
-23.6687,-46.4614,2,3
-41.3078,174.798,3,15
25.1333,93.9667,2,12
26.1844,91.7896,3,1
36.1638,-87.5085,3,3
47.4085,-121.4068,2,15
57.6256,-3.3291,2,3
28.61209203,81.64645269,1,12
33.899,-117.764,2,12
26.885,88.2778,2,12
28.3516,103.1281,1,3
5.0936,102.9896,2,3
10.4447,-66.8545,2,3
33.047,-116.833,3,3
21.9564,106.6974,2,14
5.453011,100.214496,3,12
57.6717,-2.3389,2,14
-26.2396,-69.6364,2,4
45.377,-122.0704,3,12
39.10578115,-84.50067398,2,12
21.369472,-157.7865298,3,3
47.6647,-122.5048,2,3
-1.0478,102.9334,2,3
45.915562,-122.740865,2,12
44.7362,-122.1622,4,15
16.0203,-91.8946,2,14
7.0611,121.9325,3,3
50.68445384,-119.0470126,3,12
17.0032,73.3572,2,3
37.8061,-84.3976,3,3
37.9137,-79.4305,3,3
40.4355,-80.0122,3,3
42.3377,23.0879,2,12
30.7412,79.4929,2,3
29.428,81.28,1,3
30.3846,78.8371,2,3
27.7,92.8,2,3
35.6194,-82.3219,2,12
-33.2968,-70.2492,1,3
30.1281,78.3221,1,3
10.6468,122.2416,3,12
7.0808,80.7354,2,3
36.8324,-121.6945,3,3
50.764389,-119.339699,3,15
23.5102,106.1624,2,3
-6.8644,109.0338,2,12
38.81,-123.5857,3,3
27.2872,88.2816,2,12
34.7982,71.3823,2,15
37.5957,-121.9277,2,3
29.9111,109.5516,2,3
27.0409,103.4086,2,4
-37.5803,145.2737,2,3
7.8963,98.3095,3,9
41.5702,24.7372,1,1
33.4942,130.3342,2,3
7.8891,98.3075,3,3
35.4962,-84.2738,3,3
-38.6358,143.8911,2,3
40.19920903,-79.9235025,3,12
26.908,87.9258,2,1
24.7543,93.5039,2,12
43.45091955,-73.3260807,1,15
49.7843,-121.4471,2,15
38.6401,-122.8778,2,3
35.7972,73.3185,2,3
24.506937,91.588893,2,8
24.7625,93.4341,2,1
18.1283,-66.681,3,3
11.81,78.2253,2,15
31.5785,104.3531,2,3
24.1293,92.6921,2,12
40.4257,-79.9113,3,12
5.076694444,-75.49742754,1,3
44.4573,18.673,3,1
16.7294,-92.6389,3,3
28.4628,101.8783,2,3
-22.9073,-43.0842,2,3
10.3166,123.8452,2,3
5.0882,118.4047,2,3
45.2507,-123.8481,4,15
37.91538871,-121.8915772,3,12
47.47729387,-122.1856476,3,12
15.9517,73.9958,2,12
46.8769,7.289,3,12
31.5699,78.2844,2,3
14.4702,78.8205,2,12
22.90813548,92.47207294,2,12
37.7663,-80.4306,3,12
38.533,68.214,2,3
50.73336291,-1.646321046,2,12
22.9,96.48,2,9
26.6429,106.7778,2,3
39.76403558,-105.5829874,3,6
35.26818518,-85.12267855,3,1
27.1027,88.1218,4,3
6.7043,80.3828,2,3
44.3781,-123.7837,4,15
7.096,-73.2994,2,3
15.5779,-89.7321,2,12
37.9958,-122.2363,2,3
57.6897,-2.042,3,3
12.349,-84.8116,2,1
19.7295408,99.071045,2,3
44.7947,-107.9215,2,12
56.228,-4.8572,2,3
43.8872,-122.7194,4,15
45.9953,-122.8771,4,15
1.4128,-77.398,2,3
7.604043152,125.8670267,2,12
47.7367,-121.0207,2,3
44.93,-115.72,2,3
43.2989,-122.8776,4,15
21.4007,-157.8224,2,12
42.6439,-124.4077,3,12
29.5311,81.9616,2,15
29.5193,80.4687,2,12
40.6893,-105.291,2,3
8.6113,-71.6598,3,4
-0.4635,-77.8928,2,12
10.7142,-61.5838,3,3
19.2677,73.0618,3,1
33.7403,77.7559,3,1
46.28376389,7.61990403,1,13
47.2892,-120.4036,1,15
38.4807,-80.4138,3,3
38.17483722,-92.79794505,3,3
43.7,-114.371,3,3
46.647,-121.171,2,5
21.8777,104.5658,1,3
27.8868,85.5107,2,12
34.1548,-117.8708,3,3
17.3349,121.0364,2,14
9.2279,-82.3808,2,12
-22.4912,-43.1856,2,3
37.086401,-81.99834244,3,1
11.8154,122.0943,2,3
3.8355,113.7131,4,3
9.2404,123.2211,2,12
27.0638,88.4659,2,12
33.7576,-109.2835,3,3
27.15977181,88.63411246,2,3
43.1372,-79.0415,3,3
33.7112,-117.6428,2,12
9.2102,-82.3705,2,3
18.418,121.0613,2,14
20.8482,92.4524,2,3
24.9037,93.487,2,1
3.3334,114.3859,2,1
35.6425,-82.5264,2,3
8.1747,77.444,2,3
9.0329,-79.538,2,15
42.047741,119.284278,2,0
8.425227,-13.22917996,5,3
34.5281,103.7853,2,3
12.82402778,75.21163889,3,12
44.871,-122.6445,3,12
45.7037,-122.6508,3,3
37.75,-119.5676,2,6
16.5364,120.8512,2,14
20.839,-98.2908,2,14
-22.5527,-43.6897,2,3
5.1894,102.6857,2,15
45.5674,-123.9405,4,15
51.4867,0.3114,3,15
5.9555,116.0924,2,3
36.55,137.2279,2,3
44.049,-122.8753,4,15
23.1667,105.4167,2,14
14.7333,121.6,2,3
43.7777,-115.5106,2,12
17.91,-92.8956,2,12
42.6798,-122.6169,4,15
-18.1284,178.4448,2,3
11.8348,75.4856,3,8
34.2437,-117.6561,2,12
46.0603,-122.8952,4,15
37.2743,-107.9352,3,3
29.1265,81.2574,2,3
34.3091,-118.2537,3,3
53.900846,-122.678683,3,13
16.3597,120.5634,3,14
10.077,76.322,2,12
-6.4859,-76.3867,2,12
45.0915,-123.7641,4,15
30.7314,78.4347,3,3
32.4399,-97.7881,2,12
7.8383,123.2967,1,14
10.1943788,123.564923,4,3
42.279,-124.4045,4,15
37.59479437,-121.9302567,2,12
33.0272,74.9465,2,3
38.523,-122.5538,3,15
45.8389,-118.6435,4,15
43.5411,-111.2683,3,3
29.7453,98.5567,2,3
-8.213841663,115.4153855,4,3
9.7962,-83.9498,3,1
20.8605,92.489,2,3
-14.30652636,-170.8105958,2,3
22.7674,121.0448,2,3
44.3104,-123.6314,4,15
24.9434,67.0645,2,15
16.9752,120.911,2,3
46.11,-122.893,3,12
28.2638,83.9725,2,12
1.0571,110.6565,2,15
13.2989,123.8,2,14
27.4,92.35,2,3
56.2456,-4.8841,3,12
31.8,104.5,2,3
42.2872,-110.1938,2,3
34.4318,131.5032,2,1
37.29584217,-112.9476039,3,10
31.1,77.1645,1,3
64.0005,-149.1366,2,15
12.042,-86.2998,2,3
31.7293,-106.5152,3,12
36.98,128.66,2,3
37.4288,-105.447,3,12
46.0534,-123.6638,4,15
30.6293,78.3303,2,3
-0.487,30.1695,1,15
19.9436,105.3131,1,3
26.1619,91.7697,3,12
